user_id,product_id,event,timestamp
1,989,view,2026-02-27 13:48:50.349524
1,531,purchase,2026-05-19 13:48:50.349524
1,929,view,2026-03-05 13:48:50.349524
1,3,view,2025-12-09 13:48:50.349524
1,963,view,2026-04-07 13:48:50.349524
1,60,cart,2026-01-09 13:48:50.349524
1,96,purchase,2026-05-21 13:48:50.349524
1,101,view,2026-04-29 13:48:50.349524
1,125,purchase,2025-12-16 13:48:50.349524
1,238,purchase,2026-03-09 13:48:50.349524
1,51,view,2025-12-23 13:48:50.349524
1,615,view,2026-05-30 13:48:50.349524
1,116,cart,2026-01-03 13:48:50.349524
1,134,cart,2026-03-24 13:48:50.349524
1,218,view,2026-04-22 13:48:50.349524
1,776,cart,2026-01-20 13:48:50.349524
1,644,cart,2026-02-20 13:48:50.349524
1,171,cart,2025-12-24 13:48:50.349524
1,423,view,2026-03-31 13:48:50.349524
1,490,purchase,2026-04-16 13:48:50.349524
2,645,view,2025-12-09 13:48:50.349524
2,306,view,2026-02-15 13:48:50.349524
2,370,view,2026-03-11 13:48:50.349524
2,922,purchase,2026-05-24 13:48:50.349524
2,767,purchase,2025-12-26 13:48:50.349524
2,140,view,2025-12-19 13:48:50.349524
2,666,purchase,2026-06-03 13:48:50.349524
2,155,view,2026-05-16 13:48:50.349524
2,463,view,2025-12-28 13:48:50.349524
2,738,view,2026-02-16 13:48:50.349524
2,202,cart,2025-12-21 13:48:50.349524
2,624,cart,2025-12-08 13:48:50.349524
2,679,view,2026-04-22 13:48:50.349524
2,718,cart,2026-01-06 13:48:50.349524
2,363,cart,2026-05-14 13:48:50.349524
2,397,view,2026-02-16 13:48:50.349524
2,145,purchase,2025-12-24 13:48:50.349524
2,747,view,2026-04-27 13:48:50.349524
2,779,cart,2025-12-16 13:48:50.349524
2,925,cart,2026-03-24 13:48:50.349524
3,728,purchase,2025-12-07 13:48:50.349524
3,345,cart,2026-01-28 13:48:50.349524
3,607,view,2026-03-03 13:48:50.349524
3,613,view,2026-01-25 13:48:50.349524
3,577,view,2026-05-10 13:48:50.349524
3,772,view,2026-02-05 13:48:50.349524
3,109,cart,2025-12-17 13:48:50.349524
3,730,view,2025-12-17 13:48:50.349524
3,637,view,2026-02-15 13:48:50.349524
3,282,view,2026-03-11 13:48:50.349524
3,677,view,2026-06-01 13:48:50.349524
3,364,view,2025-12-10 13:48:50.349524
3,848,view,2026-03-31 13:48:50.349524
3,519,view,2026-01-20 13:48:50.349524
3,425,view,2026-04-02 13:48:50.349524
3,556,cart,2026-05-29 13:48:50.349524
3,296,cart,2026-02-27 13:48:50.349524
3,17,view,2026-01-13 13:48:50.349524
3,474,view,2026-01-22 13:48:50.349524
3,866,purchase,2025-12-31 13:48:50.349524
4,1000,cart,2026-05-17 13:48:50.349524
4,486,cart,2026-05-03 13:48:50.349524
4,129,cart,2026-05-21 13:48:50.349524
4,278,cart,2026-03-16 13:48:50.349524
4,559,view,2026-01-12 13:48:50.349524
4,972,view,2026-01-04 13:48:50.349524
4,41,view,2026-05-13 13:48:50.349524
4,857,view,2026-05-21 13:48:50.349524
4,588,view,2025-12-14 13:48:50.349524
4,904,view,2026-01-14 13:48:50.349524
4,144,purchase,2026-05-30 13:48:50.349524
4,730,view,2026-03-08 13:48:50.349524
4,313,cart,2025-12-23 13:48:50.349524
4,82,cart,2026-03-08 13:48:50.349524
4,754,purchase,2026-02-01 13:48:50.349524
4,956,cart,2025-12-28 13:48:50.349524
4,302,cart,2026-02-01 13:48:50.349524
4,886,cart,2026-03-22 13:48:50.349524
4,635,view,2025-12-20 13:48:50.349524
4,835,view,2025-12-23 13:48:50.349524
5,26,view,2026-05-16 13:48:50.349524
5,367,view,2026-05-07 13:48:50.349524
5,940,purchase,2026-03-25 13:48:50.349524
5,839,cart,2026-04-03 13:48:50.349524
5,687,purchase,2026-03-30 13:48:50.349524
5,616,cart,2026-04-05 13:48:50.349524
5,116,cart,2026-01-09 13:48:50.349524
5,309,cart,2026-01-08 13:48:50.349524
5,440,view,2026-03-15 13:48:50.349524
5,750,purchase,2026-04-01 13:48:50.349524
5,704,view,2026-05-31 13:48:50.349524
5,1,view,2026-06-02 13:48:50.349524
5,356,cart,2026-05-28 13:48:50.349524
5,891,view,2026-01-12 13:48:50.349524
5,197,cart,2026-01-02 13:48:50.349524
5,631,cart,2026-01-17 13:48:50.349524
5,947,cart,2025-12-09 13:48:50.349524
5,689,view,2025-12-25 13:48:50.349524
5,934,view,2025-12-12 13:48:50.349524
5,466,view,2026-04-21 13:48:50.349524
6,657,view,2025-12-12 13:48:50.349524
6,412,cart,2025-12-28 13:48:50.349524
6,179,view,2026-02-27 13:48:50.349524
6,413,view,2026-05-17 13:48:50.349524
6,339,view,2026-04-07 13:48:50.349524
6,85,cart,2026-01-01 13:48:50.349524
6,58,view,2026-04-20 13:48:50.349524
6,45,view,2026-03-06 13:48:50.349524
